order_id,product_id,quantity,unit_price,line_total
2507,3,1,3.63,3.63
2507,7,3,1.54,4.62
2507,26,2,4.09,8.18
14344,10,4,6.29,25.16
33019,22,4,4.69,18.76
33019,29,5,3.09,15.45
33019,32,2,4.21,8.42
36557,6,4,4.87,19.48
36557,7,5,1.54,7.70
36557,10,4,6.29,25.16
36557,17,4,0.51,2.04
37373,1,4,6.51,26.04
37373,8,3,4.72,14.16
37373,10,4,6.29,25.16
37373,19,4,9.43,37.72
44323,1,3,6.51,19.53
44323,3,4,3.63,14.52
44323,13,1,3.98,3.98
44323,18,4,8.74,34.96
69638,27,5,6.33,31.65
69638,32,3,4.21,12.63
69638,35,1,3.29,3.29
69638,36,2,8.56,17.12
82309,22,2,4.69,9.38
82309,23,4,5.65,22.60
82309,24,1,7.41,7.41
82309,30,5,5.78,28.90
82309,36,4,8.56,34.24
85649,10,3,6.29,18.87
85649,15,5,5.65,28.25
97354,14,2,6.56,13.12
97354,19,1,9.43,9.43
97354,21,4,3.97,15.88
101017,5,1,1.98,1.98
101017,30,4,5.78,23.12
108320,22,5,4.69,23.45
147960,15,3,5.65,16.95
147960,24,4,7.41,29.64
168895,14,4,6.56,26.24
168895,28,5,9.16,45.80
168895,29,1,3.09,3.09
168895,31,4,3.62,14.48
174418,13,1,3.98,3.98
174418,18,5,8.74,43.70
174418,20,4,7.42,29.68
180774,4,2,4.28,8.56
180774,30,5,5.78,28.90
184283,26,1,4.09,4.09
184283,33,4,9.95,39.80
195221,10,1,6.29,6.29
195221,13,3,3.98,11.94
195221,21,3,3.97,11.91
195221,36,4,8.56,34.24
206508,6,3,4.87,14.61
206508,17,2,0.51,1.02
206508,25,1,1.53,1.53
206508,34,5,9.37,46.85
210452,8,1,4.72,4.72
210452,17,3,0.51,1.53
210452,18,3,8.74,26.22
210452,20,3,7.42,22.26
216814,4,1,4.28,4.28
216814,7,4,1.54,6.16
216814,18,4,8.74,34.96
216814,19,3,9.43,28.29
221911,10,2,6.29,12.58
221911,17,3,0.51,1.53
221911,25,1,1.53,1.53
221911,30,5,5.78,28.90
222250,28,5,9.16,45.80
230396,4,3,4.28,12.84
230396,8,1,4.72,4.72
230396,19,5,9.43,47.15
230396,22,3,4.69,14.07
230396,29,3,3.09,9.27
246193,20,1,7.42,7.42
246193,27,4,6.33,25.32
246695,24,2,7.41,14.82
255229,1,0,6.51,0.00
255229,33,1,9.95,9.95
255229,34,1,9.37,9.37
262029,5,4,1.98,7.92
262029,7,2,1.54,3.08
262029,10,1,6.29,6.29
262029,16,4,7.54,30.16
262029,19,4,9.43,37.72
304409,4,1,4.28,4.28
304409,8,5,4.72,23.60
315910,10,1,6.29,6.29
315910,26,5,4.09,20.45
331025,20,2,7.42,14.84
332417,32,4,4.21,16.84
337101,31,4,3.62,14.48
337101,34,1,9.37,9.37
341786,9,1,1.51,1.51
341786,16,2,7.54,15.08
341786,36,5,8.56,42.80
344840,34,4,9.37,37.48
356062,14,4,6.56,26.24
371019,32,4,4.21,16.84
378052,2,5,1.79,8.95
378052,10,4,6.29,25.16
378052,25,1,1.53,1.53
378052,36,3,8.56,25.68
378312,2,5,1.79,8.95
378312,13,1,3.98,3.98
378312,23,2,5.65,11.30
378312,24,2,7.41,14.82
391425,1,2,6.51,13.02
391425,15,1,5.65,5.65
398620,36,1,8.56,8.56
418533,1,5,6.51,32.55
418533,3,4,3.63,14.52
418533,7,5,1.54,7.70
418533,33,3,9.95,29.85
418533,36,2,8.56,17.12
420279,2,3,1.79,5.37
420279,12,1,8.38,8.38
420279,13,5,3.98,19.90
420279,27,4,6.33,25.32
428674,2,1,1.79,1.79
428674,10,2,6.29,12.58
428674,25,2,1.53,3.06
446793,2,3,1.79,5.37
446793,8,5,4.72,23.60
446793,12,5,8.38,41.90
446793,15,4,5.65,22.60
448596,5,1,1.98,1.98
448596,30,2,5.78,11.56
454546,16,5,7.54,37.70
483147,21,4,3.97,15.88
496108,29,2,3.09,6.18
516678,29,2,3.09,6.18
518995,6,1,4.87,4.87
547560,26,1,4.09,4.09
548080,5,3,1.98,5.94
548080,6,2,4.87,9.74
549292,3,4,3.63,14.52
549292,14,4,6.56,26.24
549292,32,1,4.21,4.21
553639,3,3,3.63,10.89
572395,1,4,6.51,26.04
572395,8,1,4.72,4.72
572395,31,1,3.62,3.62
584895,4,3,4.28,12.84
584895,5,3,1.98,5.94
584895,18,1,8.74,8.74
584895,19,1,9.43,9.43
584895,26,3,4.09,12.27
589093,3,4,3.63,14.52
589093,13,5,3.98,19.90
589093,17,5,0.51,2.55
589093,24,1,7.41,7.41
589093,27,3,6.33,18.99
616218,7,2,1.54,3.08
616218,34,5,9.37,46.85
620708,6,5,4.87,24.35
