order_id,order_datetime,customer_id,total_amount,num_items
2507,2024-02-01T23:37:18.858291,23,16.43,3
14344,2024-02-05T11:46:12.858221,23,25.16,1
33019,2024-02-10T20:14:04.633672,1,42.63,3
36557,2024-02-10T15:23:53.641311,5,54.38,4
37373,2024-02-06T11:37:11.817955,27,103.08,4
44323,2024-02-06T13:26:24.013738,8,72.99,4
69638,2024-02-06T10:56:57.302566,23,64.69,4
82309,2024-02-01T12:14:56.195921,25,102.53,5
85649,2024-02-08T02:04:02.562272,1,47.12,2
97354,2024-02-05T06:26:32.403141,23,38.43,3
101017,2024-02-04T10:10:51.536593,12,25.10,2
108320,2024-02-06T13:53:51.657487,26,23.45,1
147960,2024-02-01T16:22:22.337029,17,46.59,2
168895,2024-02-08T07:09:07.369463,23,89.61,4
174418,2024-02-06T18:39:45.735769,19,77.36,3
180774,2024-02-08T14:04:14.381825,4,37.46,2
184283,2024-02-09T04:06:46.201623,20,43.89,2
195221,2024-02-08T02:42:52.420432,14,64.38,4
206508,2024-02-01T09:31:01.605423,19,64.01,4
210452,2024-02-02T14:15:13.745951,23,54.73,4
216814,2024-02-02T12:37:57.674891,25,73.69,4
221911,2024-02-01T05:33:44.326459,3,44.54,4
222250,2024-02-07T13:27:56.279817,14,45.80,1
230396,2024-02-10T13:27:45.428724,20,88.05,5
246193,2024-02-01T11:35:43.748960,26,32.74,2
246695,2024-02-03T21:43:45.244884,21,14.82,1
255229,2024-02-10T19:44:12.527630,18,19.32,3
262029,2024-02-06T04:35:28.050395,12,85.17,5
304409,2024-02-08T13:48:49.873974,15,27.88,2
315910,2024-02-03T07:18:05.662322,22,26.74,2
331025,2024-02-08T20:00:31.791060,30,14.84,1
332417,2024-02-01T01:02:45.515402,14,16.84,1
337101,2024-02-05T07:05:10.848009,18,23.85,2
341786,2024-02-06T06:16:14.587000,6,59.39,3
344840,2024-02-04T09:41:39.666439,23,37.48,1
356062,2024-02-01T02:49:20.764882,20,26.24,1
371019,2024-02-06T15:52:39.672829,23,16.84,1
378052,2024-02-01T19:28:26.784069,26,61.32,4
378312,2024-02-04T23:40:41.554358,7,39.05,4
391425,2024-02-06T01:43:41.284587,10,18.67,2
398620,2024-02-02T19:23:10.310729,14,8.56,1
418533,2024-02-05T22:08:20.783564,27,101.74,5
420279,2024-02-02T21:15:09.683858,23,58.97,4
428674,2024-02-05T15:57:03.642824,18,17.43,3
446793,2024-02-01T07:36:32.009141,18,93.47,4
448596,2024-02-02T03:18:04.894461,15,13.54,2
454546,2024-02-08T22:28:51.007644,27,37.70,1
483147,2024-02-01T20:52:49.942225,15,15.88,1
496108,2024-02-01T19:09:58.880775,16,6.18,1
516678,2024-02-08T10:22:38.090843,23,6.18,1
518995,2024-02-10T00:50:24.629661,8,4.87,1
547560,2024-02-05T05:52:40.330864,25,4.09,1
548080,2024-02-02T01:17:39.157436,17,15.68,2
549292,2024-02-01T19:22:45.488762,4,44.97,3
553639,2024-02-01T21:35:33.774959,18,10.89,1
572395,2024-02-01T16:44:38.591004,26,34.38,3
584895,2024-02-04T20:33:35.321190,20,49.22,5
589093,2024-02-08T13:01:02.203994,16,63.37,5
616218,2024-02-04T15:32:32.455749,11,49.93,2
620708,2024-02-02T22:33:02.564955,4,83.43,4
626453,2024-02-09T18:53:52.819870,20,43.50,2
626984,2024-02-01T11:13:53.068320,30,33.97,3
670553,2024-02-05T04:59:45.300160,16,47.25,3
721711,2024-02-05T12:31:07.696517,14,15.92,1
738167,2024-02-09T00:49:29.900102,8,10.22,2
749207,2024-02-02T06:28:48.413656,2,22.77,2
753068,2024-02-09T13:11:29.882307,2,38.42,3
755658,2024-02-10T01:17:44.774937,8,49.40,3
782974,2024-02-08T23:34:15.003330,28,55.41,5
788728,2024-02-04T08:17:45.623734,24,82.82,5
810175,2024-02-09T00:16:47.609888,15,35.10,3
835001,2024-02-10T00:23:17.487336,7,78.95,5
873466,2024-02-09T06:50:25.612571,7,37.81,4
916908,2024-02-05T13:58:34.462218,19,74.56,4
