order_id,customer_id,order_date,order_total,num_items
2507,23,2024-02-01,16.43,3
14344,23,2024-02-05,25.16,1
33019,1,2024-02-10,42.63,3
36557,5,2024-02-10,54.38,4
37373,27,2024-02-06,103.08,4
44323,8,2024-02-06,72.99,4
69638,23,2024-02-06,64.69,4
82309,25,2024-02-01,102.53,5
85649,1,2024-02-08,47.12,2
97354,23,2024-02-05,38.43,3
101017,12,2024-02-04,25.10,2
108320,26,2024-02-06,23.45,1
147960,17,2024-02-01,46.59,2
168895,23,2024-02-08,89.61,4
174418,19,2024-02-06,77.36,3
180774,4,2024-02-08,37.46,2
184283,20,2024-02-09,43.89,2
195221,14,2024-02-08,64.38,4
206508,19,2024-02-01,64.01,4
210452,23,2024-02-02,54.73,4
216814,25,2024-02-02,73.69,4
221911,3,2024-02-01,44.54,4
222250,14,2024-02-07,45.80,1
230396,20,2024-02-10,88.05,5
246193,26,2024-02-01,32.74,2
246695,21,2024-02-03,14.82,1
255229,18,2024-02-10,19.32,2
262029,12,2024-02-06,85.17,5
304409,15,2024-02-08,27.88,2
315910,22,2024-02-03,26.74,2
331025,30,2024-02-08,14.84,1
332417,14,2024-02-01,16.84,1
337101,18,2024-02-05,23.85,2
341786,6,2024-02-06,59.39,3
344840,23,2024-02-04,37.48,1
356062,20,2024-02-01,26.24,1
371019,23,2024-02-06,16.84,1
378052,26,2024-02-01,61.32,4
378312,7,2024-02-04,39.05,4
391425,10,2024-02-06,18.67,2
398620,14,2024-02-02,8.56,1
418533,27,2024-02-05,101.74,5
420279,23,2024-02-02,58.97,4
428674,18,2024-02-05,17.43,3
446793,18,2024-02-01,93.47,4
448596,15,2024-02-02,13.54,2
454546,27,2024-02-08,37.70,1
483147,15,2024-02-01,15.88,1
496108,16,2024-02-01,6.18,1
500520,24,2024-02-07,0.00,0
516678,23,2024-02-08,6.18,1
518995,8,2024-02-10,4.87,1
547560,25,2024-02-05,4.09,1
548080,17,2024-02-02,15.68,2
549292,4,2024-02-01,44.97,3
553639,18,2024-02-01,10.89,1
572395,26,2024-02-01,34.38,3
584895,20,2024-02-04,49.22,5
589093,16,2024-02-08,63.37,5
616218,11,2024-02-04,49.93,2
620708,4,2024-02-02,83.43,4
626453,20,2024-02-09,43.50,2
626984,30,2024-02-01,33.97,3
670553,16,2024-02-05,47.25,3
721711,14,2024-02-05,15.92,1
738167,8,2024-02-09,10.22,2
749207,2,2024-02-02,22.77,2
753068,2,2024-02-09,38.42,3
755658,8,2024-02-10,49.40,2
782974,28,2024-02-08,55.41,5
788728,24,2024-02-04,82.82,5
810175,15,2024-02-09,35.10,3
835001,7,2024-02-10,78.95,4
873466,7,2024-02-09,37.81,4
916908,19,2024-02-05,74.56,4
919746,18,2024-02-10,50.05,5
921496,23,2024-02-10,60.92,4
936269,30,2024-02-09,50.90,2
942063,17,2024-02-01,30.01,2
945714,2,2024-02-01,42.31,2
964079,12,2024-02-02,50.21,2
964284,2,2024-02-04,29.79,3
972899,15,2024-02-09,29.85,1
981386,21,2024-02-06,27.03,2
983242,22,2024-02-01,89.67,4
996627,2,2024-02-09,3.09,1
1002949,8,2024-02-10,18.32,1
1003276,11,2024-02-01,36.15,3
1003481,30,2024-02-08,35.82,2
1013182,25,2024-02-06,102.12,5
1016054,15,2024-02-02,3.96,1
1018138,22,2024-02-08,81.01,4
1029112,18,2024-02-05,14.52,1
1035867,13,2024-02-01,86.79,4
1042581,5,2024-02-10,41.68,3
1043366,7,2024-02-10,24.22,3
1043980,11,2024-02-06,31.39,2
1052005,6,2024-02-09,10.71,2
1080939,13,2024-02-06,32.99,4
1085010,4,2024-02-05,26.04,1
1085076,24,2024-02-02,49.19,4
1087222,27,2024-02-04,39.33,3
1087811,7,2024-02-01,20.12,2
1090161,21,2024-02-02,65.47,5
1097187,7,2024-02-04,16.33,3
1106598,18,2024-02-06,37.70,1
1148233,3,2024-02-08,48.80,2
1150526,19,2024-02-09,36.71,2
1165781,4,2024-02-06,89.10,5
1180279,28,2024-02-02,52.43,4
1186732,26,2024-02-10,11.30,1
1200947,13,2024-02-07,6.58,1
1213508,25,2024-02-01,36.69,2
1213722,21,2024-02-05,44.50,4
1222553,15,2024-02-06,23.02,2
1229184,9,2024-02-08,41.55,4
1229742,1,2024-02-01,20.98,3
1234343,12,2024-02-01,25.16,1
1245123,1,2024-02-05,94.15,5
1250796,25,2024-02-05,23.06,2
1257798,27,2024-02-06,74.97,5
1261731,23,2024-02-08,87.77,5
1269449,2,2024-02-01,15.90,2
1284414,3,2024-02-04,17.73,3
1294571,9,2024-02-01,106.83,3
1306776,30,2024-02-01,9.87,1
1309035,19,2024-02-10,21.95,2
1326916,13,2024-02-02,41.59,5
1330148,26,2024-02-09,18.43,2
