product_id,product_name,product_category,product_subcategory,product_shape,sales_price,cost_to_make,stock
1,Translucent Worms Standard,Gummies & Jellies,Worms,Standard,6.51,2.71,0
2,Opaque Worms Standard,Gummies & Jellies,Worms,Standard,1.79,1.21,1839
3,Translucent Worms Stackable,Gummies & Jellies,Worms,Stackable,3.63,2.23,212
4,Opaque Worms Stackable,Gummies & Jellies,Worms,Stackable,4.28,2.62,1085
5,Translucent Rings Standard,Gummies & Jellies,Rings,Standard,1.98,1.07,0
6,Opaque Rings Standard,Gummies & Jellies,Rings,Standard,4.87,2.97,2251
7,Translucent Rings Stackable,Gummies & Jellies,Rings,Stackable,1.54,0.72,1780
8,Opaque Rings Stackable,Gummies & Jellies,Rings,Stackable,4.72,2.90,234
9,Translucent Bears Standard,Gummies & Jellies,Bears,Standard,1.51,0.76,0
10,Opaque Bears Standard,Gummies & Jellies,Bears,Standard,6.29,3.38,1356
11,Translucent Bears Stackable,Gummies & Jellies,Bears,Stackable,2.25,1.10,672
12,Opaque Bears Stackable,Gummies & Jellies,Bears,Stackable,8.38,4.82,2234
13,Graham Fruit Cubes,Marshmallow,Fruit,Cubes,3.98,2.49,2070
14,Pastel Dust Fruit Cubes,Marshmallow,Fruit,Cubes,6.56,4.26,2680
15,Graham Fruit Cones,Marshmallow,Fruit,Cones,5.65,2.37,149
16,Pastel Dust Fruit Cones,Marshmallow,Fruit,Cones,7.54,3.78,2025
17,Graham Classic Cubes,Marshmallow,Classic,Cubes,0.51,0.31,555
18,Pastel Dust Classic Cubes,Marshmallow,Classic,Cubes,8.74,4.56,2405
19,Graham Classic Cones,Marshmallow,Classic,Cones,9.43,3.84,2151
20,Pastel Dust Classic Cones,Marshmallow,Classic,Cones,7.42,3.41,715
21,Graham Dipped Cubes,Marshmallow,Dipped,Cubes,3.97,1.69,1274
22,Pastel Dust Dipped Cubes,Marshmallow,Dipped,Cubes,4.69,2.13,1209
23,Graham Dipped Cones,Marshmallow,Dipped,Cones,5.65,3.70,858
24,Pastel Dust Dipped Cones,Marshmallow,Dipped,Cones,7.41,4.01,2472
25,Sprinkles Truffles Discs,Chocolate,Truffles,Discs,1.53,0.70,128
26,Milk/Dark/White Truffles Discs,Chocolate,Truffles,Discs,4.09,2.03,2345
27,Sprinkles Truffles Blocks,Chocolate,Truffles,Blocks,6.33,4.12,1694
28,Milk/Dark/White Truffles Blocks,Chocolate,Truffles,Blocks,9.16,3.82,562
29,Sprinkles Clusters Discs,Chocolate,Clusters,Discs,3.09,1.70,923
30,Milk/Dark/White Clusters Discs,Chocolate,Clusters,Discs,5.78,2.73,2290
31,Sprinkles Clusters Blocks,Chocolate,Clusters,Blocks,3.62,2.42,2481
32,Milk/Dark/White Clusters Blocks,Chocolate,Clusters,Blocks,4.21,2.63,2212
33,Sprinkles Filled Discs,Chocolate,Filled,Discs,9.95,6.73,1713
34,Milk/Dark/White Filled Discs,Chocolate,Filled,Discs,9.37,5.75,1326
35,Sprinkles Filled Blocks,Chocolate,Filled,Blocks,3.29,1.75,0
36,Milk/Dark/White Filled Blocks,Chocolate,Filled,Blocks,8.56,3.62,2444
